UniqueID,ParcelID,LandUse,PropertyAddress,SaleDate,SalePrice,LegalReference,SoldAsVacant,OwnerName,OwnerAddress,Acreage,TaxDistrict,LandValue,BuildingValue,TotalValue,YearBuilt,Bedrooms,FullBath,HalfBath,PropertySplitAddress,PropertyAddressSplitCity,OwnerSplitAddress,OwnerAddressSplitCity,OwnerAddressSplitState
29467,"007 14 0A 024.00","SINGLE FAMILY","2209  KAYLA DR, GOODLETTSVILLE",15-04-14,425000,20150415-0033442,No,,,0,,0,0,0,0,0,0,0,"2209  KAYLA DR"," GOODLETTSVILLE",,,
10754,"007 14 0A 027.00","SINGLE FAMILY","109  BAILEY VIEW CT, GOODLETTSVILLE",13-12-12,585000,20131227-0130352,No,,,0,,0,0,0,0,0,0,0,"109  BAILEY VIEW CT"," GOODLETTSVILLE",,,
34751,"007 14 0B 010.00","RESIDENTIAL CONDO","1900  TINNIN RD, GOODLETTSVILLE",15-07-13,190000,20150717-0069947,No,,,0,,0,0,0,0,0,0,0,"1900  TINNIN RD"," GOODLETTSVILLE",,,
48716,"011 15 0A 004.00","SINGLE FAMILY","119 LAKESIDE  DR, GOODLETTSVILLE",16-05-31,435000,20160602-0055827,No,,,0,,0,0,0,0,0,0,0,"119 LAKESIDE  DR"," GOODLETTSVILLE",,,
4514,"018 00 0 087.00","VACANT RURAL LAND","0  BRICK CHURCH PIKE, GOODLETTSVILLE",13-06-28,250000,20130709-0070947,No,"BUCHANAN, DONALD W. & SANDRA R.","0  BRICK CHURCH PIKE, GOODLETTSVILLE, TN",8.13,"CITY OF GOODLETTSVILLE",48800,0,48800,0,0,0,0,"0  BRICK CHURCH PIKE"," GOODLETTSVILLE","0  BRICK CHURCH PIKE",GOODLETTSVILLE,TN
4515,"018 00 0 096.00","VACANT RES LAND","0  BRICK CHURCH PIKE, GOODLETTSVILLE",13-06-28,250000,20130709-0070947,No,"BUCHANAN, DONALD W. & SANDRA R.","0  BRICK CHURCH PIKE, GOODLETTSVILLE, TN",3,"CITY OF GOODLETTSVILLE",45000,0,45000,0,0,0,0,"0  BRICK CHURCH PIKE"," GOODLETTSVILLE","0  BRICK CHURCH PIKE",GOODLETTSVILLE,TN
2046,"018 12 0A 004.00","SINGLE FAMILY","105  JUDITH CT, GOODLETTSVILLE",13-04-30,124900,20130502-0043992,No,,,0,,0,0,0,0,0,0,0,"105  JUDITH CT"," GOODLETTSVILLE",,,
10755,"018 12 0A 006.00","SINGLE FAMILY","108  JUDITH CT, GOODLETTSVILLE",13-12-18,144500,20131226-0129701,No,,,0,,0,0,0,0,0,0,0,"108  JUDITH CT"," GOODLETTSVILLE",,,
51968,"018 12 0A 014.00","SINGLE FAMILY","336 DORR  DR, GOODLETTSVILLE",16-07-20,175900,20160726-0076602,No,,,0,,0,0,0,0,0,0,0,"336 DORR  DR"," GOODLETTSVILLE",,,
13355,"018 12 0A 019.00","SINGLE FAMILY","105  MAVELLA CT, GOODLETTSVILLE",14-03-31,110000,20140402-0027284,No,,,0,,0,0,0,0,0,0,0,"105  MAVELLA CT"," GOODLETTSVILLE",,,
26216,"018 12 0A 019.00","SINGLE FAMILY","105  MAVELLA CT, GOODLETTSVILLE",15-01-13,158000,20150116-0004659,No,,,0,,0,0,0,0,0,0,0,"105  MAVELLA CT"," GOODLETTSVILLE",,,
14427,"018 12 0A 022.00","SINGLE FAMILY","111  MAVELLA CT, GOODLETTSVILLE",14-04-29,159900,20140502-0037305,No,,,0,,0,0,0,0,0,0,0,"111  MAVELLA CT"," GOODLETTSVILLE",,,
